Q ID,Mapped from,Theme,Scope,Scope sort,Question,Notes,Grade,Answer,Weighted score,Comments
ACM-1,ESIP-4.7,Access,Infrastructure,#N/A,Can the dataset be accessed in its entirety? ,"Every entry in the dataset should be accessible via direct download, API, or in a cloud container. This metric is not applicable to datasets behind access controls with an approval process, or in trusted research environments.",Important,Yes,5,"Though only via CILogin, signing a Data Use Agreement and providing an Azure Storage Container for the 3.82 TB"
ACM-2,ODI-2.b,Metadata,Infrastructure,#N/A,Is the metadata provided along with the data?,"All metadata should be colocated with the data. This means it should be visible on the same repository page, or packaged with the download. Journal articles are not considered metadata.",Important,Yes,5,Mapped to Clinical Dataset Structure and the OMOP Comon Data Model
ACM-3,MG-13,Integrity,Infrastructure,#N/A,Does the dataset include a mechanism for verifying its integrity?,"For a direct download or cloud container, this would be a checksum or cryptographic hash. For an API using HTTPS/TLS, integrity checks are built into the protocol.",Optional,Yes,2,Azure storage containers enforce checksums
ACM-4,MG-52,Licence,Infrastructure,#N/A,Is the dataset released with a clear licence or terms of use?,Infrastructures may offer no guarantees about the licensing of the data they host. See NIH Policies as an example. Datasets with an explicit licence are strongly preferred.,Critical,Yes,80,Data use agreement
ACM-5,ESIP-3.17,Licence,Infrastructure,#N/A,Is the licence standardised and machine-readable? ,"e.g. Creative Commons, MIT.",Important,No,0,Custom license
ACM-6,Bridge2AI-5.b,Resource,Infrastructure,#N/A,Is the dataset deposited in a FAIR-compliant archive?,"General purpose repositories may or may not be FAIR-compliant. For example, Zenodo is considered FAIR-compliant. HuggingFace and Kaggle are not.",Important,Yes,5,FAIRHub built specifically
ACM-7,Bridge2AI-5.b,Resource,Infrastructure,#N/A,Is the dataset deposited in a domain-appropriate infrastructure?,"A domain-appropriate archive is preferred for findability, access to specific tooling, and consistent implementation of standards. The alternative is a general purpose archive, e.g. Zenodo, Data Dryad.",Important,Yes,5,FAIRHub built specifically
ACM-8,FAIR-F.4,Resource,Infrastructure,#N/A,Is the dataset hosted in a searchable infrastructure?,"Infrastructures vary in the search functionality they offer, but it should be possible to search for a dataset based on metadata properties as well as looking it up directly via an ID or accession.",Optional,Yes,2,"FAIRHub platform, cross-referenced in NIH documentation"
ACM-9,MG-140,UID,Infrastructure,#N/A,"Does the dataset have a globally unique, persistent identifier?","A URL does not count as a persistent identifier. An accession assigned by a repository is acceptable, as long as the combination of repository+accession uniquely identifies the dataset. While FAIR-compliant archives provide UIDs, not all archives do (e.g. Kaggle).",Critical,Yes,80,DOI
ACM-10,ODI-3.c,Updates,Infrastructure,#N/A,"If the dataset is subject to updates, does it use a version control system?","If the dataset will not be updated, mark this question ""Yes"".",Optional,Yes,2,"v1.00, 2.00, etc."
ACM-11,MG-94 / MG-98,Bias,Metadata,2,Is consideration of bias documented in the metadata? ,An accompanying research article does not form part of the metadata.,Important,Yes,5,Dupe of MG-98? | Designed to be agnostic to existing classification criteria or biases
ACM-12,MG-66,Metadata,Metadata,2,"Does the dataset use a machine-readable, domain-appropriate metadata standard? ","Metadata should include a domain-appropriate set of information about the dataset, following a standard. For example, Minimum Information Standards (e.g. MIAME, MIAPE). Variable names should be self-explanatory.",Critical,Yes,80,
ACM-13,FAIR-F.3,Metadata,Metadata,2,Does the metadata include the identifier of the dataset?,"The metadata should be clearly linked to the dataset with a unqiue identifier. If the dataset has no unique identifier, mark this question ""No"". A URL does not qualify as a unique identifier.",Critical,Yes,80,Payload links to unique identifier and DOI
ACM-14,MG-77,Metadata,Metadata,2,Does the metadata specify intended access controls? ,"e.g. “public”, “controlled access only”, etc. If the data is publically available with no limitations on use, this should be specified.",Optional,Yes,2,
ACM-15,ODI-2.c.i,Metadata,Metadata,2,Does the metadata document the modalities used? ,"e.g. RNA sequence, molecular structure, spectrum, image .",Optional,Yes,2,
ACM-16,MG-33,Preprocessing,Metadata,2,Are transformation and preprocessing steps documented well enough to reproduce them?,"Either with software in a repository, or with a detailed description.",Important,Yes,5,Data harmonization pipelines documented docs.aireadi.org and GIthub
ACM-17,MG-37 / ODI-2.c.vi,Provenance,Metadata,2,Is the provenance of the dataset clearly documented?,"This should include who generated or collected it, how it's been processed, whether it has been published before, whether it contains data from other sources, whether and how it was measured or simulated. If any of these things is missing, mark the question ""No"".",Critical,Yes,80,"The collection timeframe, 2280 participant cohort makeup, and data origins are thoroughly detailed."
ACM-18,AIDRIN-1.c,Quality,Content,3,Is the dataset free of duplicate records?,Repeated records or files is a common mistake that damages the quality of a dataset.,Important,Yes,5,OMOP CDM enforces strict person_id primary key
ACM-19,AIDRIN-1.a,Quality,Content,3,Does the dataset include all expected records and content? ,"The expected content is defined by the metadata. If the dataset has no metadata, mark this question ""No"".",Important,Yes,5,3.0 is fully intended multimodal spread
ACM-20,ESIP-2.12 / MG-91,Format,Content,3,"Are units, data types and parameter names consistent between entries? ","Data types and vocabularies should be used consistently, even if a dataset combines data from multiple sources.",Critical,Yes,80,"Formatting strictly adheres to standard mapping models to ensure rigorous consistency across variables.
"
ACM-21,MG-20,Standards,Content,3,"Does the dataset follow domain standards with respect to units, data types, parameter names?",This could be indicated by a schema or domain-specific minimum information standard.,Important,Yes,5,"Maps to SNOMED, LOINC, RxNorm"
ACM-22,MG-164,Format,Content,3,Does the data use an appropriate file format? ,"Particularly with respect to efficiency and suitability. The appropriate format is specific to the modality, domain, and intended use.",Optional,Yes,2,
ACM-23,ESIP-4.3,Format ,Content,3,"Is the data available in at least one open, non-proprietary format? ",It should be possible to read a dataset and write it to a different format without the use of proprietary software.,Optional,Yes,2,
ACM-24,MG-10,Ethics,Ethics,4,"If the dataset contains data from animal or human subjects, does the dataset include an ethical assessment that covers acquisition?","This includes consent, sampling methods, regulatory compliance, and funding sources. The acquisition should be described along accepted principles, like the Belmont, Menlo, or CARE principles, sufficient for its proper evaluation in context of intended use. If the dataset contains no human or animal data, mark the question ""Yes"".",Critical,,,
ACM-25,MG-6,Privacy,Ethics,4,"If the dataset contains data from human subjects, does the dataset preserve the privacy of  subjects?","The risk of reidentification when the data is used to train AI should also be considered. If the dataset contains no human data, mark the question ""Yes"".",Critical,,,
ACM-26,Bridge2AI-4.b,Ethics,Ethics,4,"If the dataset contains data from human subjects, does the dataset include an ethical assessment that covers data management?","Management includes processing, storage, access and use. The management plan should indicate privacy-protection processing, if any, sufficient to evaluate ethical status for intended use, e.g. ""anonymized"" vs. ""limited data set"" vs. ""non-PHI dataset"". If the dataset contains no human data, mark the question ""Yes"".",Important,,,
ACM-27,MG-1,Security,Ethics,4,"If the dataset contains data from human subjects, does the dataset have the necessary authentication and access controls?","The appropriate level of access security depends on the dataset. If the dataset contains no human data, mark the question ""Yes"".",Important,,,
ACM-28,ODI-2.e.iii,Metadata,Ethics,4,"If the dataset contains data from human subjects, does the metadata document data protection declarations?","The metadata should specify what consent was given by participants and the legal basis for collection and processing. If the dataset contains no human data, mark the question ""Yes"".",Optional,,,
,,,,,,,,,,
,,,,,,,,TOTAL,539,
,,,,,,,,Grade,In progress,
,,,,,,,,,,
,,,,,,,,,Out of,
,,,,,,,Optional,7,8,
,,,,,,,Important,9,12,
,,,,,,,Critical,6,8,